CODEALERTA,FONTE,BIOMA,ESTADO,MUNICIPIO,AREAHA,ANODETEC,DATADETEC,DTIMGANT,DTIMGDEP,DTPUBLI,VPRESSAO
738154,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Rio Branco do Sul,2.07,2022.0,2022-10-31,2022-05-21,2022-08-28,2022-12-13,agriculture
794337,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Adrianópolis,5.36,2022.0,2022-12-31,2022-07-30,2022-11-16,2023-02-07,agriculture
794819,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Tunas do Paraná,15.73,2022.0,2022-12-31,2022-03-07,2022-11-10,2023-02-28,agriculture
795388,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Cerro Azul,9.69,2022.0,2022-12-31,2022-07-11,2022-09-23,2023-02-28,agriculture
794203,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Cerro Azul,1.19,2022.0,2022-12-31,2022-09-23,2022-12-09,2023-02-28,agriculture
794054,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Adrianópolis,6.16,2022.0,2022-12-31,2022-05-04,2022-12-10,2023-02-28,agriculture
795245,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Adrianópolis,1.58,2022.0,2022-12-31,2022-05-28,2022-11-10,2023-02-28,agriculture
795155,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Doutor Ulysses,11.23,2022.0,2022-12-31,2022-06-17,2022-11-18,2023-02-28,agriculture
794577,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Cerro Azul,0.65,2022.0,2022-12-31,2022-08-15,2022-09-23,2023-02-28,agriculture
794273,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Cerro Azul,1.63,2022.0,2022-12-31,2022-09-23,2022-11-17,2023-02-28,agriculture
794236,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Cerro Azul,0.8,2022.0,2022-12-31,2022-10-09,2022-11-16,2023-02-28,agriculture
795127,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Rio Branco do Sul,2.62,2022.0,2022-12-31,2022-08-28,2022-11-09,2023-02-28,agriculture
794890,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Rio Branco do Sul,1.43,2022.0,2022-12-31,2022-09-01,2022-11-10,2023-02-28,mining
794789,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Cerro Azul,0.94,2022.0,2022-12-31,2022-05-17,2022-10-28,2023-02-28,agriculture
794718,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Itaperuçu,2.92,2022.0,2022-12-31,2022-08-19,2022-11-18,2023-02-28,agriculture
794732,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Adrianópolis,2.01,2022.0,2022-12-31,2022-09-23,2022-11-15,2023-02-28,agriculture
795554,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Tunas do Paraná,13.56,2022.0,2022-12-31,2022-08-02,2022-11-16,2023-02-28,agriculture
794988,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Cerro Azul,7.28,2022.0,2022-12-31,2022-08-27,2022-11-09,2023-02-28,agriculture
794263,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Tunas do Paraná,1.22,2022.0,2022-12-31,2022-10-30,2022-11-10,2023-02-28,agriculture
796026,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Adrianópolis,8.13,2022.0,2022-12-31,2022-08-28,2023-01-28,2023-03-07,agriculture
795899,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Rio Branco do Sul,1.55,2022.0,2022-12-31,2022-08-27,2022-12-08,2023-03-07,agriculture
795691,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Cerro Azul,0.69,2022.0,2022-12-31,2022-09-23,2022-11-18,2023-03-07,agriculture
795663,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Adrianópolis,1.84,2022.0,2022-12-31,2022-09-23,2022-11-10,2023-03-07,agriculture
795390,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Doutor Ulysses,0.81,2022.0,2022-12-31,2022-08-15,2022-09-23,2023-03-07,agriculture
795654,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Adrianópolis,0.95,2022.0,2022-12-31,2022-05-19,2022-10-09,2023-03-07,agriculture
795252,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Cerro Azul,9.13,2022.0,2022-12-31,2022-08-11,2023-01-25,2023-03-07,agriculture
803298,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Cerro Azul,0.65,2023.0,2023-01-28,2022-10-26,2022-12-09,2023-03-28,agriculture
802588,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Tunas do Paraná,6.2,2023.0,2023-02-28,2022-12-10,2023-03-08,2023-03-28,agriculture
169436,{GLAD},Mata Atlântica,PARANÁ,Cerro Azul,1.63,2020.0,2020-06-30,2020-04-30,2020-06-20,2020-08-11,agriculture
185981,{GLAD},Mata Atlântica,PARANÁ,Adrianópolis,2.63,2020.0,2020-07-09,2019-10-01,2020-03-13,2020-09-22,agriculture
251691,{GLAD},Mata Atlântica,PARANÁ,Doutor Ulysses,4.71,2020.0,2020-10-28,2020-07-25,2020-10-28,2020-12-15,agriculture
324898,{GLAD},Mata Atlântica,PARANÁ,Bocaiúva do Sul,3.94,2021.0,2021-03-14,2020-10-20,2021-03-27,2021-05-11,agriculture
445110,{GLAD},Mata Atlântica,PARANÁ,Rio Branco do Sul,1.84,2021.0,2021-10-23,2021-07-12,2021-11-14,2021-12-01,agriculture
488023,{GLAD},Mata Atlântica,PARANÁ,Bocaiúva do Sul,18.79,2021.0,2021-11-25,2021-09-25,2022-01-24,2022-03-08,agriculture
488166,{GLAD},Mata Atlântica,PARANÁ,Cerro Azul,0.64,2021.0,2021-11-17,2021-07-19,2021-11-17,2022-03-03,agriculture
251694,{GLAD},Mata Atlântica,PARANÁ,Cerro Azul,4.26,2020.0,2020-10-20,2020-07-01,2020-11-07,2020-12-15,agriculture
409795,{GLAD},Mata Atlântica,PARANÁ,Rio Branco do Sul,2.31,2021.0,2021-07-12,2021-02-05,2021-07-30,2021-08-31,agriculture
96893,{GLAD},Mata Atlântica,PARANÁ,Cerro Azul,7.56,2019.0,2019-03-08,2018-12-14,2019-03-25,2020-05-11,agriculture
134523,{GLAD},Mata Atlântica,PARANÁ,Cerro Azul,2.12,2020.0,2020-02-08,2019-12-12,2020-02-18,2020-07-07,agriculture
134563,{GLAD},Mata Atlântica,PARANÁ,Doutor Ulysses,1.37,2020.0,2020-01-15,2019-11-29,2020-01-26,2020-07-07,agriculture
169394,{GLAD},Mata Atlântica,PARANÁ,Bocaiúva do Sul,2.1,2020.0,2020-05-30,2019-10-01,2020-04-15,2020-08-03,urban_expansion
249376,{GLAD},Mata Atlântica,PARANÁ,Doutor Ulysses,13.31,2020.0,2020-10-12,2020-05-26,2020-10-12,2020-12-08,agriculture
495318,{GLAD},Mata Atlântica,PARANÁ,Cerro Azul,5.3,2021.0,2021-12-10,2021-08-23,2022-01-23,2022-03-08,agriculture
134274,{GLAD},Mata Atlântica,PARANÁ,Adrianópolis,5.33,2020.0,2020-01-07,2019-10-01,2019-11-30,2020-07-07,agriculture
134307,{GLAD},Mata Atlântica,PARANÁ,Adrianópolis,4.93,2020.0,2020-01-07,2019-10-25,2019-12-26,2021-03-30,agriculture
249375,{GLAD},Mata Atlântica,PARANÁ,Cerro Azul,3.71,2020.0,2020-10-12,2020-06-21,2020-10-10,2020-12-08,agriculture
251621,{GLAD},Mata Atlântica,PARANÁ,Tunas do Paraná,2.81,2020.0,2020-10-29,2020-08-11,2020-10-29,2020-12-08,agriculture
484639,{GLAD},Mata Atlântica,PARANÁ,Adrianópolis,2.58,2021.0,2021-11-17,2021-10-22,2021-12-11,2022-03-03,agriculture
496687,{GLAD},Mata Atlântica,PARANÁ,Bocaiúva do Sul,3.0,2021.0,2021-12-11,2021-05-19,2021-11-16,2022-03-08,agriculture
96909,{GLAD},Mata Atlântica,PARANÁ,Itaperuçu,1.36,2019.0,2019-01-11,2018-10-30,2019-01-29,2020-05-11,agriculture
229219,{GLAD},Mata Atlântica,PARANÁ,Doutor Ulysses,1.4,2020.0,2020-09-10,2020-04-29,2020-08-04,2020-11-17,agriculture
251697,{GLAD},Mata Atlântica,PARANÁ,Cerro Azul,11.9,2020.0,2020-10-28,2020-08-11,2020-11-26,2020-12-15,agriculture
409815,{GLAD},Mata Atlântica,PARANÁ,Doutor Ulysses,1.01,2021.0,2021-07-11,2021-06-05,2021-08-23,2021-08-31,agriculture
490163,{GLAD},Mata Atlântica,PARANÁ,Adrianópolis,3.67,2021.0,2021-11-17,2021-07-29,2021-12-21,2022-02-15,agriculture
610541,{SOS-INPE},Mata Atlântica,PARANÁ,Rio Branco do Sul,5.34,2022.0,2022-05-31,2021-08-23,2021-10-22,2022-09-13,mining
134514,{GLAD},Mata Atlântica,PARANÁ,Cerro Azul,3.05,2020.0,2020-01-15,2019-12-29,2020-05-11,2020-07-07,agriculture
185984,{GLAD},Mata Atlântica,PARANÁ,Tunas do Paraná,3.02,2020.0,2020-07-09,2020-02-28,2020-08-27,2020-09-22,agriculture
495319,{GLAD},Mata Atlântica,PARANÁ,Cerro Azul,3.98,2021.0,2021-12-10,2021-07-29,2022-01-18,2022-03-08,agriculture
612498,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Cerro Azul,0.86,2022.0,2022-06-30,2022-01-24,2022-03-07,2022-08-09,agriculture
625667,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Cerro Azul,1.22,2022.0,2022-07-31,2022-03-07,2022-04-28,2022-11-01,agriculture
249333,{GLAD},Mata Atlântica,PARANÁ,Tunas do Paraná,2.7,2020.0,2020-10-13,2020-05-10,2020-11-25,2020-12-08,agriculture
251630,{GLAD},Mata Atlântica,PARANÁ,Adrianópolis,10.05,2020.0,2020-10-29,2020-08-06,2020-11-26,2020-12-15,agriculture
24791,{GLAD},Mata Atlântica,PARANÁ,Itaperuçu,1.43,2019.0,2019-07-30,2019-05-06,2019-07-17,2020-05-11,agriculture
71089,{GLAD},Mata Atlântica,PARANÁ,Adrianópolis,4.41,2019.0,2019-10-27,2019-08-17,2019-10-30,2020-05-11,agriculture
134525,{GLAD},Mata Atlântica,PARANÁ,Cerro Azul,1.86,2020.0,2020-04-19,2020-04-03,2020-05-04,2020-07-07,agriculture
251620,{GLAD},Mata Atlântica,PARANÁ,Adrianópolis,3.94,2020.0,2020-10-29,2020-09-30,2020-10-20,2020-12-15,agriculture
315109,{GLAD},Mata Atlântica,PARANÁ,Adrianópolis,1.44,2021.0,2021-02-02,2020-11-26,2020-12-20,2021-04-20,agriculture
92731,{GLAD},Mata Atlântica,PARANÁ,Itaperuçu,1.23,2019.0,2019-06-04,2019-03-06,2019-06-04,2020-05-11,agriculture
96889,{GLAD},Mata Atlântica,PARANÁ,Adrianópolis,14.32,2019.0,2019-03-24,2018-11-13,2019-03-06,2020-05-11,agriculture
134630,{GLAD},Mata Atlântica,PARANÁ,Itaperuçu,4.31,2020.0,2020-02-15,2019-12-26,2020-02-09,2020-07-07,agriculture
251628,{GLAD},Mata Atlântica,PARANÁ,Tunas do Paraná,6.82,2020.0,2020-10-29,2020-09-19,2020-11-07,2020-12-15,agriculture
490180,{GLAD},Mata Atlântica,PARANÁ,Adrianópolis,2.08,2021.0,2021-11-17,2021-10-22,2021-11-16,2022-03-08,agriculture
584532,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Cerro Azul,1.2,2022.0,2022-03-31,2021-10-22,2021-12-25,2022-07-19,agriculture
71249,{GLAD},Mata Atlântica,PARANÁ,Doutor Ulysses,4.69,2019.0,2019-10-27,2019-08-03,2019-11-29,2020-05-11,agriculture
134310,{GLAD},Mata Atlântica,PARANÁ,Adrianópolis,2.34,2020.0,2020-01-07,2019-10-01,2019-11-30,2020-07-07,agriculture
445040,{GLAD},Mata Atlântica,PARANÁ,Adrianópolis,8.93,2021.0,2021-10-16,2021-05-25,2021-08-20,2021-12-01,agriculture
490177,{GLAD},Mata Atlântica,PARANÁ,Adrianópolis,25.39,2021.0,2021-11-17,2021-08-20,2021-11-27,2022-02-22,agriculture
497786,{GLAD},Mata Atlântica,PARANÁ,Cerro Azul,7.29,2021.0,2021-12-26,2021-08-24,2022-01-20,2022-03-08,agriculture
626716,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Doutor Ulysses,6.65,2022.0,2022-07-31,2022-02-13,2022-05-28,2022-11-01,agriculture
232041,{GLAD},Mata Atlântica,PARANÁ,Cerro Azul,12.24,2020.0,2020-09-26,2020-07-23,2020-10-10,2020-11-17,agriculture
251705,{GLAD},Mata Atlântica,PARANÁ,Itaperuçu,6.34,2020.0,2020-10-20,2020-08-11,2020-11-07,2020-12-15,agriculture
315102,{GLAD},Mata Atlântica,PARANÁ,Bocaiúva do Sul,2.74,2021.0,2021-02-02,2020-08-04,2021-02-05,2021-04-20,agriculture
497083,{GLAD},Mata Atlântica,PARANÁ,Cerro Azul,3.59,2021.0,2021-12-10,2021-08-23,2021-12-05,2022-03-08,agriculture
624961,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Doutor Ulysses,1.36,2022.0,2022-07-31,2022-03-06,2022-05-19,2022-11-01,agriculture
96904,{GLAD},Mata Atlântica,PARANÁ,Rio Branco do Sul,8.4,2019.0,2019-01-11,2018-10-30,2019-01-11,2020-05-11,agriculture
134532,{GLAD},Mata Atlântica,PARANÁ,Rio Branco do Sul,2.72,2020.0,2020-03-10,2019-12-29,2020-03-10,2020-07-07,agriculture
281456,{GLAD},Mata Atlântica,PARANÁ,Doutor Ulysses,1.16,2020.0,2020-11-29,2020-09-30,2020-12-19,2021-01-19,agriculture
585918,{SAD-MATA-ATLANTICA},Mata Atlântica,PARANÁ,Doutor Ulysses,2.31,2022.0,2022-04-30,2021-11-27,2022-02-13,2022-07-19,agriculture
598735,{GLAD},Mata Atlântica,PARANÁ,Tunas do Paraná,2.85,2022.0,2022-01-19,2021-12-11,2022-02-22,2022-09-06,agriculture
71192,{GLAD},Mata Atlântica,PARANÁ,Cerro Azul,3.51,2019.0,2019-10-27,2019-10-01,2019-12-25,2020-05-11,agriculture
96886,{GLAD},Mata Atlântica,PARANÁ,Bocaiúva do Sul,4.74,2019.0,2019-03-25,2019-01-29,2019-03-23,2020-05-11,agriculture
134409,{GLAD},Mata Atlântica,PARANÁ,Adrianópolis,4.87,2020.0,2020-01-15,2019-10-30,2019-12-29,2021-03-30,agriculture
169372,{GLAD},Mata Atlântica,PARANÁ,Tunas do Paraná,4.65,2020.0,2020-05-30,2020-01-26,2020-06-18,2020-08-03,agriculture
315072,{GLAD},Mata Atlântica,PARANÁ,Adrianópolis,6.05,2021.0,2021-02-02,2020-09-11,2020-12-20,2021-04-20,agriculture
496124,{GLAD},Mata Atlântica,PARANÁ,Bocaiúva do Sul,3.24,2021.0,2021-12-27,2021-05-28,2021-11-16,2022-03-08,agriculture
